,CN1,CN2,DPT,ATTT,DT,KT,Mark,QTKD,
T2t1,NTTH,LNKT,LNTK,DTK,HTT,NTH,THH,X,
T2t2,TTH,DTK,NTTH,NTH,X,HTT,THH,LNKT,
T2t3,DTK,X,TTH,NTTH,LNKT,THH,LNTK,NTH,
T2t4,X,LNKT,X,TTH,NTTH,THH,NTH,LNTK,
T2t5,DTK,LNKT,TTH,LNTK,NTH,NTTH,X,THH,
T2t6,THH,LNTK,NTTH,DTK,HTT,X,NTH,TTH,
T2t7,DTK,HTT,TTH,X,NTH,NTTH,LNTK,THH,
T2t8,NTTH,LNTK,TTH,DTK,HTT,NTH,LNKT,THH,
T3t1,DTK,LNTK,X,NTTH,HTT,NTH,THH,X,
T3t2,NTTH,HTT,TTH,DTK,X,NTH,LNKT,LNTK,
T3t3,TTH,X,NTTH,NTH,HTT,LNTK,LNKT,THH,
T3t4,X,LNKT,X,NTTH,LNTK,HTT,NTH,TTH,
T3t5,DTK,LNKT,TTH,THH,LNTK,HTT,X,NTH,
T3t6,THH,NTTH,HTT,TTH,LNKT,X,NTH,LNTK,
T3t7,DTK,LNKT,TTH,X,NTH,NTTH,HTT,THH,
T3t8,NTTH,LNKT,TTH,DTK,HTT,NTH,THH,LNTK,
T4t1,NTTH,DTK,HTT,THH,LNTK,NTH,LNKT,X,
T4t2,DTK,LNKT,TTH,LNTK,X,NTTH,THH,NTH,
T4t3,TTH,X,X,NTTH,LNTK,NTH,HTT,LNKT,
T4t4,X,LNKT,X,TTH,NTH,LNTK,HTT,THH,
T4t5,DTK,LNKT,NTTH,LNTK,NTH,THH,X,TTH,
T4t6,DTK,HTT,X,NTH,LNKT,X,LNTK,TTH,
T4t7,NTTH,DTK,LNTK,X,NTH,THH,HTT,TTH,
T4t8,THH,LNTK,HTT,DTK,NTTH,NTH,LNKT,TTH,
T5t1,DTK,HTT,LNTK,NTTH,LNKT,NTH,THH,X,
T5t2,NTTH,HTT,X,LNTK,X,NTH,LNKT,THH,
T5t3,NTTH,X,X,TTH,HTT,NTH,THH,LNKT,
T5t4,X,LNKT,X,DTK,NTTH,HTT,THH,NTH,
T5t5,DTK,LNKT,TTH,NTH,NTTH,LNTK,X,THH,
T5t6,THH,DTK,X,TTH,LNTK,X,LNKT,NTH,
T5t7,NTTH,LNKT,LNTK,X,NTH,HTT,THH,TTH,
T5t8,TTH,LNTK,NTTH,DTK,HTT,NTH,THH,LNKT,
T6t1,DTK,NTTH,LNTK,THH,HTT,NTH,LNKT,X,
T6t2,DTK,LNKT,X,THH,X,HTT,LNTK,NTH,
T6t3,NTTH,X,X,DTK,NTH,THH,LNKT,TTH,
T6t4,X,LNKT,X,THH,NTH,NTTH,LNTK,TTH,
T6t5,DTK,LNKT,HTT,THH,NTH,NTTH,X,TTH,
T6t6,TTH,LNTK,X,NTH,NTTH,X,THH,LNKT,
T6t7,DTK,NTTH,TTH,X,HTT,NTH,LNTK,THH,
T6t8,THH,NTTH,LNTK,DTK,HTT,NTH,LNKT,TTH,
T7t1,DTK,NTTH,HTT,LNTK,LNKT,NTH,THH,X,
T7t2,TTH,NTTH,X,LNTK,X,NTH,HTT,LNKT,
T7t3,DTK,X,X,NTTH,HTT,LNTK,NTH,THH,
T7t4,X,LNKT,X,DTK,NTTH,THH,NTH,LNTK,
T7t5,DTK,LNKT,NTTH,TTH,LNTK,NTH,X,THH,
T7t6,THH,DTK,X,NTH,LNKT,X,HTT,LNTK,
T7t7,NTTH,DTK,HTT,X,NTH,LNTK,LNKT,TTH,
T7t8,NTTH,HTT,TTH,DTK,NTH,LNTK,LNKT,THH,
